point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
347855:3229:151::Nemaiah Valley:Nemaiah Valley:in Nemaiah Valley:::
347856:3229:151::Nimpo Lake:Nimpo Lake:in Nimpo Lake:::
347857:3229:151::Redstone:Redstone:in Redstone:::
347858:3229:151::Riske Creek:Riske Creek:in Riske Creek:::
347859:3229:151::Tatla Lake:Tatla Lake:in Tatla Lake:::
347860:3229:151::Wells:Wells:in Wells:::
347861:3229:151::Dawsons Landing:Dawsons Landing:in Dawsons Landing:::
347862:3229:151::Denny (island):Denny:in Denny (island):::
347863:3229:151::Hagensborg:Hagensborg:in Hagensborg:::
347864:3229:151::Ocean Falls:Ocean Falls:in Ocean Falls:::
347865:3229:151::Ainsworth Hot Springs:Ainsworth Hot Springs:in Ainsworth Hot Springs:::
347866:3229:151::Argenta:Argenta:in Argenta:::
347867:3229:151::Balfour:Balfour:in Balfour:::
347868:3229:151::Boswell:Boswell:in Boswell:::
347869:3229:151::Burton:Burton:in Burton:::
347870:3229:151::Canyon:Canyon:in Canyon:::
347871:3229:151::Castlegar:Castlegar:in Castlegar:::
347872:3229:151::Crawford Bay:Crawford Bay:in Crawford Bay:::
347873:3229:151::Crescent Valley:Crescent Valley:in Crescent Valley:::
347874:3229:151::Edgewood:Edgewood:in Edgewood:::
347875:3229:151::Erickson:Erickson:in Erickson:::
347876:3229:151::Fauquier:Fauquier:in Fauquier:::
347877:3229:151::Gray Creek:Gray Creek:in Gray Creek:::
347878:3229:151::Kaslo:Kaslo:in Kaslo:::
347879:3229:151::Kingsgate:Kingsgate:in Kingsgate:::
347880:3229:151::Kitchener:Kitchener:in Kitchener:::
347881:3229:151::Kootenay Bay:Kootenay Bay:in Kootenay Bay:::
347882:3229:151::Lister:Lister:in Lister:::
347883:3229:151::Meadow Creek:Meadow Creek:in Meadow Creek:::
347884:3229:151::New Denver:New Denver:in New Denver:::
347885:3229:151::Procter:Procter:in Procter:::
347886:3229:151::Riondel:Riondel:in Riondel:::
347887:3229:151::Robson:Robson:in Robson:::
347888:3229:151::Salmo:Salmo:in Salmo:::
347889:3229:151::Silverton:Silverton:in Silverton:::
347890:3229:151::Sirdar:Sirdar:in Sirdar:::
347891:3229:151::Slocan:Slocan:in Slocan:::
347892:3229:151::Slocan Park:Slocan Park:in Slocan Park:::
347893:3229:151::South Slocan:South Slocan:in South Slocan:::
347894:3229:151::Winlaw:Winlaw:in Winlaw:::
347895:3229:151::Wynndel:Wynndel:in Wynndel:::
347896:3229:151::Yahk:Yahk:in Yahk:::
347897:3229:151::Ymir:Ymir:in Ymir:::
347898:3251:203::Maringa:Maringa:in Maringa:Маринга:Маринга:в Маринге
347899:3260:203::Guarulhos:Guarulhos:in Guarulhos:Гуарульюс:Гуарульюс:в Гуарульюсе
347900:3260:203::Campinas:Campinas:in Campinas:Кампинас:Кампинас:в Кампинасе
347901:3254:203::Sao Goncalo:Sao Goncalo:in Sao Goncalo:Сан-Гонсалу:Сан-Гонсалу:в Сан-Гонсалу
347902:3254:203::Duque de Caxias:Duque de Caxias:in Duque de Caxias:Дуки-ди-Кашиас:Дуки-ди-Кашиас:в Дуки-ди-Кашиасе
347903:3247:203::Dourados:Dourados:in Dourados:Дорадус:Дорадус:в Дорадусе
347904:3243:203::Serra:Serra:in Serra:Серра:Серра:в Серре
347905:3243:203::Cariacica:Cariacica:in Cariacica:Кариасика:Кариасика:в Кариасике
347906:3248:203::Uberlandia:Uberlandia:in Uberlandia:Уберландия:Уберландия:в Уберландии
347907:::0::::::
347908:3244:203::Itaberai:Itaberai:in Itaberai:Итабераи:Итабераи:в Итабераи
347909:3246:203::Sinop:Sinop:in Sinop:Синоп:Синоп:в Синопе
347910:3246:203::Rondonopolis:Rondonopolis:in Rondonopolis:Рондонополис:Рондонополис:в Рондонополисе
347911:3241:203::Juazeiro:Juazeiro:in Juazeiro:Жуазейру:Жуазейру:в Жуазейру
347912:3261:203::Itabaiana:Itabaiana:in Itabaiana:Итабаяна:Итабаяна:в Итабаяне
347913:3261:203::Lagarto:Lagarto:in Lagarto:Лагарту:Лагарту:в Лагарту
347914:3262:203::Araguaina:Araguaina:in Araguaina:Арагуаина:Арагуаина:в Арагуаине
347915:3238:203::Arapiraca:Arapiraca:in Arapiraca:Арапирака:Арапирака:в Арапираке
347916:3238:203::Coruripe:Coruripe:in Coruripe:Корурипи:Корурипи:в Корурипях
347917:3257:203::Ariquemes:Ariquemes:in Ariquemes:Арикемис:Арикемис:в Арикемисе
347918:3257:203::Ji-Parana:Ji-Parana:in Ji-Parana:Жи-Парана:Жи-Парана:в Жи-Паране
347919:3252:203::Paulista:Paulista:in Paulista:Паулиста:Паулиста:в Паулисте
347920:3252:203::Caruaru:Caruaru:in Caruaru:Каруару:Каруару:в Каруару
347921:3250:203::Guarabira:Guarabira:in Guarabira:Гуарабира:Гуарабира:в Гуарабире
347922:3242:203::Juazeiro do Norte:Juazeiro do Norte:in Juazeiro do Norte:Жуазейру-ду-Норти:Жуазейру-ду-Норти:в Жуазейру-ду-Норти
347923:3242:203::Iguatu:Iguatu:in Iguatu:Игуату:Игуату:в Игуату
347924:3245:203::Imperatriz:Imperatriz:in Imperatriz:Императрис:Императрис:в Императрисе
347925:3249:203::Ananindeua:Ananindeua:in Ananindeua:Ананиндеуа:Ананиндеуа:в Ананиндеуе
347926:3249:203::Santarem:Santarem:in Santarem:Сантарен:Сантарен:в Сантарене
347927:3239:203::Pedra Branca do Amapari:Pedra Branca do Amapari:in Pedra Branca do Amapari:Педра-Бранка-ду-Амапари:Педра-Бранка-ду-Амапари:в Педра-Бранка-ду-Амапари
347928:3239:203::Calcoene:Calcoene:in Calcoene:Калсуэни:Калсуэни:в Калсуэни
347929:3258:203::Rorainopolis:Rorainopolis:in Rorainopolis:Рорайнополис:Рорайнополис:в Рорайнополисе
347930:3258:203::Pacaraima:Pacaraima:in Pacaraima:Пакарайма:Пакарайма:в Пакарайме
347931:3348:201::San Fernando del Valle de Catamarca:San Fernando del Valle de Catamarca:in San Fernando del Valle de Catamarca:Сан-Фернандо-дель-Валле-де-Катамарака:Сан-Фернандо-дель-Валле-де-Катамарака:в Сан-Фернандо-дель-Валле-де-Катамараке
347932:3349:201::Resistencia:Resistencia:in Resistencia:Ресистенсия:Ресистенсия:в Ресистенсии
347933:3350:201::Rawson:Rawson:in Rawson:Равсон:Равсон:в Равсоне
347934:3351:201::Cordoba:Cordoba:in Cordoba:Кордова:Кордова:в Кордове
347935:3352:201::Corrientes:Corrientes:in Corrientes:Корриентес:Корриентес:в Корриентесе
347936:3353:201::Parana:Parana:in Parana:Парана:Парана:в Паране
347937:3355:201::San Salvador de Jujuy:San Salvador de Jujuy:in San Salvador de Jujuy:Сан-Сальвадор-де-Жужуй:Сан-Сальвадор-де-Жужуй:в Сан-Сальвадор-де-Жужуе
347938:3357:201::La Rioja:La Rioja:in La Rioja:Ла-Риоха:Ла-Риоха:в Ла-Риохе
347939:3358:201::Mendoza:Mendoza:in Mendoza:Мендоса:Мендоса:в Мендосе
347940:3359:201::Posadas:Posadas:in Posadas:Посадес:Посадес:в Посадесе
347941:3362:201::Salta:Salta:in Salta:Сальта:Сальта:в Сальте
347942:3363:201::San Juan:San Juan:in San Juan:Сан-Хуан:Сан-Хуан:в Сан-Хуане
347943:::0::::::
347944:3509:254:0:South Pole (Amundsen–Scott):South Pole:on South Pole (Amundsen–Scott):Южный Полюс (Амундсен-Скотт):Южный Полюс:на Южном Полюсе (Амундсен-Скотт)
347945:3368:201::Santa Fe:Santa Fe:in Santa Fe:Санта-Фе:Санта-Фе:в Санте-Фе
347946:3371:201::San Miguel de Tucuman:San Miguel de Tucuman:in San Miguel de Tucuman:Сан-Мигель-де-Тукуман:Сан-Мигель-де-Тукуман:в Сан-Мигель-де-Тукумане
347947:3372:250::Cuenca:Cuenca:in Cuenca:Куэнка:Куэнка:в Куэнке
347948:3373:250::Guaranda:Guaranda:in Guaranda:Гуаранда:Гуаранда:в Гуаранде
347949:3374:250::Azogues:Azogues:in Azogues:Асогес:Асогес:в Асогесе
347950:3378:250::Machala:Machala:in Machala:Мачала:Мачала:в Мачале
347951:3379:250::Esmeraldas:Esmeraldas:in Esmeraldas:Эсмеральдас:Эсмеральдас:в Эсмеральдасе
347952:3380:250::Puerto Baquerizo Moreno:Puerto Baquerizo Moreno:in Puerto Baquerizo Moreno:Пуэрто-Бакерисо-Морено:Пуэрто-Бакерисо-Морено:в Пуэрто-Бакерисо-Морено
347953:3382:250::Ibarra:Ibarra:in Ibarra:Ибарро:Ибарро:в Ибарро
347954:3384:250::Babahoyo:Babahoyo:in Babahoyo:Бабаойо:Бабаойо:в Бабаойо
347955:3386:250::Macas:Macas:in Macas:Макас:Макас:в Макасе
347956:3388:250::Puerto Francisco de Orellana:Puerto Francisco de Orellana:in Puerto Francisco de Orellana:Пуэрто-Франсиско-де-Орельяна:Пуэрто-Франсиско-де-Орельяна:в Пуэрто-Франсиско-де-Орельяне
347957:3391:250::Santa Elena:Santa Elena:in Santa Elena:Санта-Элена:Санта-Элена:в Санта-Элене
347958:3394:250::Ambato:Ambato:in Ambato:Амбато:Амбато:в Амбато
347959:3395:250::Zamora:Zamora:in Zamora:Самора:Самора:в Саморе
347960:3399:248::Copiapo:Copiapo:in Copiapo:Копьяпо:Копьяпо:в Копьяпо
347961:3401:248::Valparaiso:Valparaiso:in Valparaiso:Вальпараисо:Вальпараисо:в Вальпараисо
347962:3402:248::Rancagua:Rancagua:in Rancagua:Ранкагуа:Ранкагуа:в Ранкагуа
347963:3403:248::Talca:Talca:in Talca:Талька:Талька:в Тальке
347964:3430:178::Maracay:Maracay:in Maracay:Маракай:Маракай:в Маракае
347965:3434:178::San Carlos:San Carlos:in San Carlos:Сан-Карлос:Сан-Карлос:в Сан-Карлосе
347966:3435:178::Tucupita:Tucupita:in Tucupita:Тукупита:Тукупита:в Тукупите
347967:3440:178::Los Teques:Los Teques:in Los Teques:Лос-Текес:Лос-Текес:в Лосе-Текесе
347968:3442:178::La Asuncion:La Asuncion:in La Asuncion:Ла-Асунсьон:Ла-Асунсьон:в Ле-Асунсьоне
347969:3445:178::San Cristobal:San Cristobal:in San Cristobal:Сан-Кристобаль:Сан-Кристобаль:в Сан-Кристобале
347970:3446:178::Trujillo:Trujillo:in Trujillo:Трухильо:Трухильо:в Трухильо
347971:3447:178::San Felipe:San Felipe:in San Felipe:Сан-Фелипе:Сан-Фелипе:в Сан-Фелипе
347972:3448:178::La Guaira:La Guaira:in La Guaira:Сан-Фелипе:Сан-Фелипе:в Сан-Фелипе
347973:3449:178::Maracaibo:Maracaibo:in Maracaibo:Маракайбо:Маракайбо:в Маракайбо
347974:3450:178::Los Roques:Los Roques:in Los Roques:Лос-Рокес:Лос-Рокес:в Лосе-Рокесе
347975:3452:228::Huaraz:Huaraz:in Huaraz:Уарас:Уарас:в Уарасе
347976:3453:228::Abancay:Abancay:in Abancay:Абанкай:Абанкай:в Абанкае
347977:3458:228::Callao:Callao:in Callao:Кальяо:Кальяо:в Кальяо
347978:3459:228::Huancavelica:Huancavelica:in Huancavelica:Уанкавелика:Уанкавелика:в Уанкавелике
347979:3461:228::Ica:Ica:in Ica:Ика:Ика:в Ике
347980:3468:228::Moquegua:Moquegua:in Moquegua:Мокегуа:Мокегуа:в Мокегуе
347981:3469:228::Cerro de Pasco:Cerro de Pasco:in Cerro de Pasco:Серро-де-Паско:Серро-де-Паско:в Серро-де-Паско
347982:3471:228::Puno:Puno:in Puno:Пуно:Пуно:в Пуно
347983:3472:228::Moyobamba:Moyobamba:in Moyobamba:Мойобамба:Мойобамба:в Мойобамбе
347984:3157:228::Huacho:Huacho:in Huacho:Уачо:Уачо:в Уачо
347985:3462:228::Huancayo:Huancayo:in Huancayo:Уанкайо:Уанкайо:в Уанкайо
347986:3476:227::Fuerte Olimpo:Fuerte Olimpo:in Fuerte Olimpo:Фуэрте-Олимпо:Фуэрте-Олимпо:в Фуэрте-Олимпо
347987:3477:227::Ciudad del Este:Ciudad del Este:in Ciudad del Este:Сьюдад-дель-Эсте:Сьюдад-дель-Эсте:в Сьюдад-дель-Эсте
347988:3479:227::Filadelfia:Filadelfia:in Filadelfia:Филадельфия:Филадельфия:в Филадельфии
347989:3483:227::Aregua:Aregua:in Aregua:Арегуа:Арегуа:в Арегуа
347990:3485:227::Caacupe:Caacupe:in Caacupe:Каакупе:Каакупе:в Каакупе
347991:3491:227::Villa Hayes:Villa Hayes:in Villa Hayes:Вилья-Айес:Вилья-Айес:в Вилья-Айесе
347992:3509:254:11:Pegasus north:Pegasus north:in Pegasus north:Пегасус-Норт:Пегасус-Норт:в Пегасус-Норте
347993:3498:254:10:Stillwell island:Stillwell island:in Stillwell island:остров Стиллвелл:остров Стиллвелл:на острове Стиллвелл
347994:3507:254:5:Druzhnaja-4:Druzhnaja-4:in Druzhnaja-4:Дружная-4:Дружная-4:на ст. Дружная-4
347995:3509:254::Harry:Harry:in Harry:Гарри:Гарри:в Гарри
