point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
100139:85:3:4::::Ефремово (Гулынский сельсовет):Ефремово:в Ефремово
100140:73:3:4::::Негомож:Негомож:в Негоможе
100141:73:3:4::::Югино:Югино:в Югино
100142:73:3:4::::Любичи:Любичи:в Любичах
100143:73:3:4::::Березняки:Березняки:в Березняках
100144:73:3:4::::Демидово:Демидово:в Демидово
100145:73:3:4::::Двойни:Двойни:в Двойни
100146:73:3:4::::Гольцово:Гольцово:в Гольцово
100147:73:3:4::::Зекзюлино:Зекзюлино:в Зекзюлино
100148:73:3:4::::Ерново:Ерново:в Ерново
100149:73:3:4::::Тюшино:Тюшино:в Тюшино
100150:73:3:4::::Спирино:Спирино:в Спирино
100151:73:3:4::::Алешино:Алешино:в Алешино
100152:73:3:4::::Шарапово:Шарапово:в Шарапово
100153:73:3:4::::Терехово:Терехово:в Терехово
100154:73:3:4::::Гаврино:Гаврино:в Гаврино
100155:73:3:4::::Новошино:Новошино:в Новошино
100156:73:3:4::::Сазоново:Сазоново:в Сазоново
100157:73:3:4::::Кашниково:Кашниково:в Кашниково
100158:73:3:4::::Бундово:Бундово:в Бундово
100159:73:3:4::::Ширяево:Ширяево:в Ширяево
100160:73:3:4::::Бабынино:Бабынино:в Бабынино
100161:73:3:4::::Бармино:Бармино:в Бармино
100162:73:3:4::::Самойлиха:Самойлиха:в Самойлихе
100163:73:3:4::::Середниково:Середниково:в Середниково
100164:73:3:4::::Сазоново (Куплиямский сельсовет):Сазоново:в Сазоново
100165:73:3:4::::Пруды:Пруды:в Прудах
100166:73:3:4::::Летово:Летово:в Летово
100167:73:3:4::::Петряиха:Петряиха:в Петряихе
100168:73:3:4::::Денисьево:Денисьево:в Денисьево
100169:73:3:4::::Дубровка:Дубровка:в Дубровке
100170:73:3:4::::Красная Горка:Красная Горка:в Красной Горке
100171:73:3:4::::Подлесная:Подлесная:в Подлесной
100172:73:3:4::::Катчиково:Катчиково:в Катчиково
100173:73:3:4::::Митрониха:Митрониха:в Митронихе
