point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
250148:186:51:0:Fortuneswell:Fortuneswell:in Fortuneswell:::
250149:186:51:0:Friar Waddon:Friar Waddon:in Friar Waddon:::
250150:186:51:0:Nottington:Nottington:in Nottington:::
250151:186:51:0:Preston:Preston:in Preston:::
250152:186:51:0:Thornborough:Thornborough:in Thornborough:::
250153:186:51:0:Southwell:Southwell:in Southwell:::
250154:186:51:0:Southwell Business Park:Southwell Business Park:in Southwell Business Park:::
250155:186:51:0:Upwey:Upwey:in Upwey:::
250156:186:51:0:Weston:Weston:in Weston:::
250157:186:51:0:Weymouth:Weymouth:in Weymouth:::
250158:186:51:0:Wyke Regis:Wyke Regis:in Wyke Regis:::
250159:186:51:0:Bournmoor:Bournmoor:in Bournmoor:::
250160:186:51:0:Castle Dene:Castle Dene:in Castle Dene:::
250161:186:51:0:Bletsoe:Bletsoe:in Bletsoe:::
250162:186:51:0:Thornton:Thornton:in Thornton:::
250163:186:51:0:Chester Le Street:Chester Le Street:in Chester Le Street:::
250164:186:51:0:Chester Moor:Chester Moor:in Chester Moor:::
250165:186:51:0:Drum Industrial Estate:Drum Industrial Estate:in Drum Industrial Estate:::
250166:186:51:0:Grange Villa:Grange Villa:in Grange Villa:::
250167:186:51:0:Hett Hills:Hett Hills:in Hett Hills:::
250168:186:51:0:High Flatts:High Flatts:in High Flatts:::
250169:186:51:0:High Hold:High Hold:in High Hold:::
250170:186:51:0:Kimblesworth:Kimblesworth:in Kimblesworth:::
250171:186:51:0:Tingewick:Tingewick:in Tingewick:::
250172:186:51:0:Lambton Park:Lambton Park:in Lambton Park:::
250173:186:51:0:Low Urpeth:Low Urpeth:in Low Urpeth:::
250174:186:51:0:Lumley Links:Lumley Links:in Lumley Links:::
250175:186:51:0:Lumley Park:Lumley Park:in Lumley Park:::
250176:186:51:0:Nettlesworth:Nettlesworth:in Nettlesworth:::
250177:186:51:0:New Lambton:New Lambton:in New Lambton:::
250178:186:51:0:Newfield:Newfield:in Newfield:::
250179:186:51:0:Ouston:Ouston:in Ouston:::
250180:186:51:0:Pelaw Grange:Pelaw Grange:in Pelaw Grange:::
250181:186:51:0:Pelton:Pelton:in Pelton:::
250182:186:51:0:Twyford:Twyford:in Twyford:::
250183:186:51:0:Pelton Fell:Pelton Fell:in Pelton Fell:::
250184:186:51:0:Picktree:Picktree:in Picktree:::
250185:186:51:0:Plawsworth Gate:Plawsworth Gate:in Plawsworth Gate:::
250186:186:51:0:Sacriston:Sacriston:in Sacriston:::
250187:186:51:0:South Pelaw:South Pelaw:in South Pelaw:::
250188:186:51:0:Tan Hills:Tan Hills:in Tan Hills:::
250189:186:51:0:Urpeth:Urpeth:in Urpeth:::
250190:186:51:0:Waldridge:Waldridge:in Waldridge:::
250191:186:51:0:Upper Winchendon:Upper Winchendon:in Upper Winchendon:::
250192:186:51:0:West Pelton:West Pelton:in West Pelton:::
250193:186:51:0:Woodstone Village:Woodstone Village:in Woodstone Village:::
250194:186:51:0:Archdeacon Newton:Archdeacon Newton:in Archdeacon Newton:::
250195:186:51:0:Barmpton:Barmpton:in Barmpton:::
250196:186:51:0:Bishopton:Bishopton:in Bishopton:::
250197:186:51:0:Darlington:Darlington:in Darlington:::
250198:186:51:0:Denton:Denton:in Denton:::
250199:186:51:0:Upton:Upton:in Upton:::
250200:186:51:0:Dinsdale Park:Dinsdale Park:in Dinsdale Park:::
250201:186:51:0:Durham Tees Valley Airport:Durham Tees Valley Airport:in Durham Tees Valley Airport:::
250202:186:51:0:Faverdale:Faverdale:in Faverdale:::
250203:186:51:0:Girsby:Girsby:in Girsby:::
250204:186:51:0:Great Burdon:Great Burdon:in Great Burdon:::
250205:186:51:0:Heighington:Heighington:in Heighington:::
250206:186:51:0:Heighington Village:Heighington Village:in Heighington Village:::
250207:186:51:0:High Coniscliffe:High Coniscliffe:in High Coniscliffe:::
250208:186:51:0:Houghton-le-Side:Houghton-le-Side:in Houghton-le-Side:::
250209:186:51:0:Hurworth Moor:Hurworth Moor:in Hurworth Moor:::
250210:186:51:0:Verney Junction:Verney Junction:in Verney Junction:::
250211:186:51:0:Hurworth Place:Hurworth Place:in Hurworth Place:::
250212:186:51:0:Little Stainton:Little Stainton:in Little Stainton:::
250213:186:51:0:Low Coniscliffe:Low Coniscliffe:in Low Coniscliffe:::
250214:186:51:0:Low Dinsdale:Low Dinsdale:in Low Dinsdale:::
250215:186:51:0:Merrybent:Merrybent:in Merrybent:::
250216:186:51:0:Middleton One Row:Middleton One Row:in Middleton One Row:::
250217:186:51:0:Neasham:Neasham:in Neasham:::
250218:186:51:0:Over Dinsdale:Over Dinsdale:in Over Dinsdale:::
250219:186:51:0:Redworth:Redworth:in Redworth:::
250220:186:51:0:Summerhouse:Summerhouse:in Summerhouse:::
250221:186:51:0:Waddesdon:Waddesdon:in Waddesdon:::
250222:186:51:0:Walworth:Walworth:in Walworth:::
250223:186:51:0:Walworth Gate:Walworth Gate:in Walworth Gate:::
250224:186:51:0:Allendale Cottages:Allendale Cottages:in Allendale Cottages:::
250225:186:51:0:Annfield Plain:Annfield Plain:in Annfield Plain:::
250226:186:51:0:Bridgehill:Bridgehill:in Bridgehill:::
250227:186:51:0:Castleside:Castleside:in Castleside:::
250228:186:51:0:Catchgate:Catchgate:in Catchgate:::
250229:186:51:0:Cornsay:Cornsay:in Cornsay:::
250230:186:51:0:Water Stratford:Water Stratford:in Water Stratford:::
250231:186:51:0:Cornsay Colliery:Cornsay Colliery:in Cornsay Colliery:::
250232:186:51:0:Craghead:Craghead:in Craghead:::
250233:186:51:0:Crookhall:Crookhall:in Crookhall:::
250234:186:51:0:Dipton:Dipton:in Dipton:::
250235:186:51:0:East Butsfield:East Butsfield:in East Butsfield:::
250236:186:51:0:Edmondsley:Edmondsley:in Edmondsley:::
250237:186:51:0:Esh:Esh:in Esh:::
250238:186:51:0:Greencroft:Greencroft:in Greencroft:::
250239:186:51:0:Weedon:Weedon:in Weedon:::
250240:186:51:0:Greencroft Industrial Park:Greencroft Industrial Park:in Greencroft Industrial Park:::
250241:186:51:0:Hanging Stone:Hanging Stone:in Hanging Stone:::
250242:186:51:0:Hare Law:Hare Law:in Hare Law:::
250243:186:51:0:Harperley:Harperley:in Harperley:::
250244:186:51:0:Hedley Hill:Hedley Hill:in Hedley Hill:::
250245:186:51:0:Hedley Hope:Hedley Hope:in Hedley Hope:::
250246:186:51:0:High Westwood:High Westwood:in High Westwood:::
250247:186:51:0:Hobson:Hobson:in Hobson:::
250248:186:51:0:Iveston:Iveston:in Iveston:::
250249:186:51:0:Wendover Dean:Wendover Dean:in Wendover Dean:::
250250:186:51:0:Knitsley:Knitsley:in Knitsley:::
250251:186:51:0:Lanchester:Lanchester:in Lanchester:::
250252:186:51:0:Leadgate:Leadgate:in Leadgate:::
250253:186:51:0:Lintz Green:Lintz Green:in Lintz Green:::
250254:186:51:0:Low Westwood:Low Westwood:in Low Westwood:::
250255:186:51:0:Maiden Law:Maiden Law:in Maiden Law:::
250256:186:51:0:Malton:Malton:in Malton:::
250257:186:51:0:Medomsley:Medomsley:in Medomsley:::
250258:186:51:0:Medomsley Edge:Medomsley Edge:in Medomsley Edge:::
250259:186:51:0:Moorside:Moorside:in Moorside:::
250260:186:51:0:Bolnhurst:Bolnhurst:in Bolnhurst:::
250261:186:51:0:Westcott:Westcott:in Westcott:::
250262:186:51:0:New Kyo:New Kyo:in New Kyo:::
250263:186:51:0:Old South Moor:Old South Moor:in Old South Moor:::
250264:186:51:0:Oxhill:Oxhill:in Oxhill:::
250265:186:51:0:Quaking Houses:Quaking Houses:in Quaking Houses:::
250266:186:51:0:Quebec:Quebec:in Quebec:::
250267:186:51:0:Rowley:Rowley:in Rowley:::
250268:186:51:0:Satley:Satley:in Satley:::
250269:186:51:0:Shield Row:Shield Row:in Shield Row:::
250270:186:51:0:South Moor:South Moor:in South Moor:::
250271:186:51:0:Stanley:Stanley:in Stanley:::
250272:186:51:0:Weston Turville:Weston Turville:in Weston Turville:::
250273:186:51:0:Tanfield:Tanfield:in Tanfield:::
250274:186:51:0:Tanfield Lea:Tanfield Lea:in Tanfield Lea:::
250275:186:51:0:Tantobie:Tantobie:in Tantobie:::
250276:186:51:0:Templetown:Templetown:in Templetown:::
250277:186:51:0:The Grove:The Grove:in The Grove:::
250278:186:51:0:The Middles:The Middles:in The Middles:::
250279:186:51:0:Villa Real:Villa Real:in Villa Real:::
250280:186:51:0:Waskerley:Waskerley:in Waskerley:::
250281:186:51:0:West Butsfield:West Butsfield:in West Butsfield:::
250282:186:51:0:Whitchurch:Whitchurch:in Whitchurch:::
250283:186:51:0:Aykley Heads:Aykley Heads:in Aykley Heads:::
250284:186:51:0:Bearpark:Bearpark:in Bearpark:::
250285:186:51:0:Belmont:Belmont:in Belmont:::
250286:186:51:0:Belmont Industrial Estate:Belmont Industrial Estate:in Belmont Industrial Estate:::
250287:186:51:0:Bowburn:Bowburn:in Bowburn:::
250288:186:51:0:Brandon:Brandon:in Brandon:::
250289:186:51:0:Brandon Village:Brandon Village:in Brandon Village:::
250290:186:51:0:Brasside:Brasside:in Brasside:::
250291:186:51:0:Broompark:Broompark:in Broompark:::
250292:186:51:0:Browney:Browney:in Browney:::
250293:186:51:0:Wing:Wing:in Wing:::
250294:186:51:0:Crossgate Moor:Crossgate Moor:in Crossgate Moor:::
250295:186:51:0:Dragonville:Dragonville:in Dragonville:::
250296:186:51:0:Esh Winning:Esh Winning:in Esh Winning:::
250297:186:51:0:Wingrave:Wingrave:in Wingrave:::
250298:186:51:0:Framwellgate Moor:Framwellgate Moor:in Framwellgate Moor:::
250299:186:51:0:Gilesgate:Gilesgate:in Gilesgate:::
250300:186:51:0:Gilesgate Moor:Gilesgate Moor:in Gilesgate Moor:::
250301:186:51:0:Great Lumley:Great Lumley:in Great Lumley:::
250302:186:51:0:Hartside:Hartside:in Hartside:::
250303:186:51:0:Hett:Hett:in Hett:::
250304:186:51:0:High Pittington:High Pittington:in High Pittington:::
250305:186:51:0:High Shincliffe:High Shincliffe:in High Shincliffe:::
250306:186:51:0:Houghall:Houghall:in Houghall:::
250307:186:51:0:Kelloe:Kelloe:in Kelloe:::
250308:186:51:0:Winslow:Winslow:in Winslow:::
250309:186:51:0:Langley Moor:Langley Moor:in Langley Moor:::
250310:186:51:0:Langley Park:Langley Park:in Langley Park:::
250311:186:51:0:Leamside:Leamside:in Leamside:::
250312:186:51:0:Low Pittington:Low Pittington:in Low Pittington:::
250313:186:51:0:Ludworth:Ludworth:in Ludworth:::
250314:186:51:0:Meadowfield:Meadowfield:in Meadowfield:::
250315:186:51:0:Meadowfield Industrial Estate:Meadowfield Industrial Estate:in Meadowfield Industrial Estate:::
250316:186:51:0:Nevilles Cross:Nevilles Cross:in Nevilles Cross:::
250317:186:51:0:New Brancepeth:New Brancepeth:in New Brancepeth:::
250318:186:51:0:New Durham:New Durham:in New Durham:::
250319:186:51:0:Woburn:Woburn:in Woburn:::
250320:186:51:0:Old Cassop:Old Cassop:in Old Cassop:::
250321:186:51:0:Old Pit:Old Pit:in Old Pit:::
250322:186:51:0:Old Quarrington:Old Quarrington:in Old Quarrington:::
250323:186:51:0:Plawsworth:Plawsworth:in Plawsworth:::
250324:186:51:0:Quarrington Hill:Quarrington Hill:in Quarrington Hill:::
250325:186:51:0:Rainton Gate:Rainton Gate:in Rainton Gate:::
250326:186:51:0:Running Waters:Running Waters:in Running Waters:::
250327:186:51:0:Shadforth:Shadforth:in Shadforth:::
