point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
150125:132:4:2::::Лебедевка:Лебедевка:в Лебедевке
150126:132:4:2::::Литвиновка:Литвиновка:в Литвиновке
150127:132:4:2::::Михайловка:Михайловка:в Михайловке
150128:132:4:2::::Новоселовка:Новоселовка:в Новоселовке
150129:132:4:2::::Плоское:Плоское:в Плоском
150130:132:4:2::::Андреевка:Андреевка:в Андреевке
150131:132:4:2::::Веселое (Андреевский сельсовет):Веселое:в Веселом
150132:132:4:2::::Водяное:Водяное:в Водяном
150133:132:4:2::::Долгенькое:Долгенькое:в Долгеньком
150134:132:4:2::::Широкое:Широкое:в Широком
150135:132:4:2::::Зеленый Гай (с.):Зеленый Гай:в Зеленом Гае
150136:132:4:2::::Комсомольское:Комсомольское:в Комсомольском
150137:132:4:2::::Катериновка:Катериновка:в Катериновке
150138:132:4:2::::Никольское:Никольское:в Никольском
150139:132:4:2::::Шевченково (Малобурлукский сельсовет):Шевченково:в Шевченково
150140:132:4:2::::Шевяковка:Шевяковка:в Шевяковке
150141:132:4:2::::Новая Александровка (с.):Новая Александровка:в Новой Александровке
150142:132:4:2::::Красное:Красное:в Красном
150143:132:4:2::::Червоноармейское:Червоноармейское:в Червоноармейском
150144:132:4:2::::Шевченково (Новоалександровский сельсовет):Шевченково:в Шевченково
150145:132:4:2::::Артельное:Артельное:в Артельном
150146:132:4:2::::Березники:Березники:в Березниках
150147:132:4:2::::Крейдянка:Крейдянка:в Крейдянке
150148:132:4:2::::Федоровка:Федоровка:в Федоровке
150149:132:4:2::::Николаевка:Николаевка:в Николаевке
150150:132:4:2::::Краснярское:Краснярское:в Краснярском
150151:132:4:2::::Зеленый Гай (п.):Зеленый Гай:в Зеленом Гае
150152:132:4:2::::Купьеваха:Купьеваха:в Купьевахе
150153:132:4:2::::Шиповатое (с.):Шиповатое:в Шиповатом
150154:132:4:2::::Веселое (Шиповатовский сельсовет):Веселое:в Веселом
150155:132:4:2::::Шляховое:Шляховое:в Шляховом
150156:132:4:2::::Плетеновка:Плетеновка:в Плетеновке
150157:132:4:2::::Вильча:Вильча:в Вильче
150158:132:4:2::::Березники:Березники:в Березниках
150159:132:4:2::::Петровское:Петровское:в Петровском
150160:132:4:2::::Покаляное:Покаляное:в Покаляном
150161:132:4:2::::Бугроватка:Бугроватка:в Бугроватке
150162:132:4:2::::Широкое:Широкое:в Широком
150163:132:4:2::::Варваровка (Жовтневый Второй сельсовет):Варваровка:в Варваровке
150164:132:4:2::::Землянки:Землянки:в Землянках
150165:132:4:2::::Ивановка:Ивановка:в Ивановке
150166:132:4:2::::Благодатное:Благодатное:в Благодатном
150167:132:4:2::::Котовка:Котовка:в Котовке
150168:132:4:2::::Круглое:Круглое:в Круглом
150169:132:4:2::::Песчаное:Песчаное:в Песчаном
150170:132:4:2::::Новоалександровка:Новоалександровка:в Новоалександровке
150171:132:4:2::::Лозовая:Лозовая:в Лозовой
150172:132:4:2::::Чайковка:Чайковка:в Чайковке
150173:132:4:2::::Петропавловка:Петропавловка:в Петропавловке
150174:132:4:2::::Украинское:Украинское:в Украинском
150175:132:4:2::::Шевченково Первое:Шевченково Первое:в Шевченково Первом
150176:132:4:2::::Хижняково:Хижняково:в Хижняково
150177:132:4:2::::Байрак:Байрак:в Байраке
150178:132:4:2::::Варваровка (Рубежненский сельсовет):Варваровка:в Варваровке
150179:132:4:2::::Жовтневое (Рубежненский сельсовет):Жовтневое:в Жовтневом
150180:132:4:2::::Украинка:Украинка:в Украинке
150181:132:4:2::::Погорелое:Погорелое:в Погорелом
150182:132:4:2::::Жовтневое (Червоноармейский Первый сельсовет):Жовтневое:в Жовтневом
150183:132:4:2::::Пролетарское:Пролетарское:в Пролетарском
150184:132:4:2::::Радянское:Радянское:в Радянском
150185:132:4:2::::Цегельное:Цегельное:в Цегельном
150186:132:4:2::::Федоровка:Федоровка:в Федоровке
150187:132:4:2::::Юрченково:Юрченково:в Юрченково
150188:132:4:2::::Шевченково:Шевченково:в Шевченково
150189:132:4:2::::Першотравневое:Першотравневое:в Першотравневом
150190:132:4:2::::Жовтневое:Жовтневое:в Жовтневом
150191:132:4:2::::Каменка:Каменка:в Каменке
150192:132:4:2::::Красное Первое:Красное Первое:в Красном Первом
150193:132:4:2::::Тополи (с.):Тополи:в Тополях
150194:132:4:2::::Отрадное:Отрадное:в Отрадном
150195:132:4:2::::Долгенькое:Долгенькое:в Долгеньком
150196:132:4:2::::Касьяновка:Касьяновка:в Касьяновке
150197:132:4:2::::Лозовая Вторая:Лозовая Вторая:в Лозовой Второй
150198:132:4:2::::Лозовая Первая:Лозовая Первая:в Лозовой Первой
150199:132:4:2::::Николаевка:Николаевка:в Николаевке
150200:132:4:2::::Павловка:Павловка:в Павловке
150201:132:4:2::::Петровка:Петровка:в Петровке
150202:132:4:2::::Берестовое:Берестовое:в Берестовом
150203:132:4:2::::Граково:Граково:в Граково
150204:132:4:2::::Ивановка:Ивановка:в Ивановке
150205:132:4:2::::Митрофановка:Митрофановка:в Митрофановке
150206:132:4:2::::Фиголевка:Фиголевка:в Фиголевке
150207:132:4:2::::Пески:Пески:в Песках
150208:132:4:2::::Песчанка:Песчанка:в Песчанке
150209:132:4:2::::Редкодуб:Редкодуб:в Редкодубе
150210:132:4:2::::Водяное:Водяное:в Водяном
150211:132:4:2::::Гряниковка:Гряниковка:в Гряниковке
150212:132:4:2::::Токаревка:Токаревка:в Токаревке
150213:132:4:2::::Петровское:Петровское:в Петровском
150214:132:4:2::::Белаши:Белаши:в Белашах
150215:132:4:2::::Болибоки:Болибоки:в Болибоках
150216:132:4:2::::Маслии:Маслии:в Маслиях
150217:132:4:2::::Мищенки:Мищенки:в Мищенках
150218:132:4:2::::Семеновка:Семеновка:в Семеновке
150219:132:4:2::::Шевченко:Шевченко:в Шевченко
150220:132:4:2::::Чайковка:Чайковка:в Чайковке
150221:132:4:2::::Березовское:Березовское:в Березовском
150222:132:4:2::::Коммунар:Коммунар:в Коммунаре
150223:132:4:2::::Соленый Яр:Соленый Яр:в Соленом Яру
150224:132:4:2::::Подворки:Подворки:в Подворках
150225:132:4:2::::Сирянка:Сирянка:в Сирянке
150226:132:4:2::::Пивденное:Пивденное:в Пивденном
150227:132:4:2::::Протопоповка:Протопоповка:в Протопоповке
150228:132:4:2::::Терновая:Терновая:в Терновой
150229:132:4:2::::Алисовка:Алисовка:в Алисовке
150230:132:4:2::::Новое:Новое:в Новом
150231:132:4:2::::Гоптовка:Гоптовка:в Гоптовке
150232:132:4:2::::Бугаевка:Бугаевка:в Бугаевке
150233:132:4:2::::Дементиевка:Дементиевка:в Дементиевке
150234:132:4:2::::Лобановка:Лобановка:в Лобановке
150235:132:4:2::::Токаревка:Токаревка:в Токаревке
150236:132:4:2::::Токаревка Вторая:Токаревка Вторая:в Токаревке Второй
150237:132:4:2::::Лесное:Лесное:в Лесном
150238:132:4:2::::Нагорное:Нагорное:в Нагорном
150239:132:4:2::::Скалоновка:Скалоновка:в Скалоновке
150240:132:4:2::::Першотравневое:Першотравневое:в Першотравневом
150241:132:4:2::::Червоный Жовтень:Червоный Жовтень:в Червоном Жовтне
150242:132:4:2::::Червоноармейское:Червоноармейское:в Червоноармейском
150243:132:4:2::::Александровка:Александровка:в Александровке
150244:132:4:2::::Лебяжье:Лебяжье:в Лебяжьем
150245:132:4:2::::Кочетовка:Кочетовка:в Кочетовке
150246:132:4:2::::Николаевка:Николаевка:в Николаевке
150247:132:4:2::::Зеньковщина:Зеньковщина:в Зеньковщине
150248:132:4:2::::Петровское:Петровское:в Петровском
150249:132:4:2::::Старое Пекельное:Старое Пекельное:в Старом Пекельном
150250:132:4:2::::Ульяновка:Ульяновка:в Ульяновке
150251:132:4:2::::Лимановка:Лимановка:в Лимановке
150252:132:4:2::::Семеновка:Семеновка:в Семеновке
150253:132:4:2::::Чернещина:Чернещина:в Чернещине
150254:132:4:2::::Новоселовка:Новоселовка:в Новоселовке
150255:132:4:2::::Выришальный:Выришальный:в Выришальном
150256:132:4:2::::Бутовка:Бутовка:в Бутовке
150257:132:4:2::::Лазуковка:Лазуковка:в Лазуковке
150258:132:4:2::::Черемушное:Черемушное:в Черемушном
150259:132:4:2::::Благодатное:Благодатное:в Благодатном
150260:132:4:2::::Бирки:Бирки:в Бирках
150261:132:4:2::::Джгун:Джгун:в Джгуне
150262:132:4:2::::Зализнычные Борки:Зализнычные Борки:в Зализнычных Борках
150263:132:4:2::::Кирюхи:Кирюхи:в Кирюхах
150264:132:4:2::::Кравцово:Кравцово:в Кравцово
150265:132:4:2::::Кукуловка:Кукуловка:в Кукуловке
150266:132:4:2::::Погорелое:Погорелое:в Погорелом
150267:132:4:2::::Федоровка:Федоровка:в Федоровке
150268:132:4:2::::Боровая:Боровая:в Боровой
150269:132:4:2::::Водяное:Водяное:в Водяном
150270:132:4:2::::Звидки:Звидки:в Звидках
150271:132:4:2::::Константовка:Константовка:в Константовке
150272:132:4:2::::Репяховка:Репяховка:в Репяховке
150273:132:4:2::::Занки:Занки:в Занках
